,trade,date,position,price,symbol,quantity,capital
0,1,2010-10-20,-1,19.371374130249023,MSFT,258,100000.0
1,3,2010-10-20,1,7.933499813079834,AMZN,630,100000.0
2,5,2010-10-20,-1,15.177133560180664,GOOGL,329,100000.0
3,2,2010-10-20,1,9.365533828735352,AAPL,533,100000.0
4,4,2010-10-20,1,21.878570556640625,NFLX,228,100000.0
5,0,2010-10-21,-1,15.277236938476562,GOOGL,329,99967.06598854065
6,0,2010-10-21,1,24.670000076293945,NFLX,228,100636.44593048096
7,0,2010-10-21,1,8.248499870300293,AMZN,630,100198.45003604889
8,0,2010-10-21,-1,19.455570220947266,MSFT,258,99978.27740859985
9,0,2010-10-21,1,9.335070610046387,AAPL,533,99983.76310443878
10,0,2010-10-22,1,24.014286041259766,NFLX,228,100486.94313049316
11,0,2010-10-22,-1,15.290717124938965,GOOGL,329,99962.63100719452
12,0,2010-10-22,-1,19.424943923950195,MSFT,258,99986.1789932251
13,0,2010-10-22,1,8.456500053405762,AMZN,630,100329.49015140533
14,0,2010-10-22,1,9.27324390411377,AAPL,533,99950.8094701767
15,0,2010-10-25,1,8.449999809265137,AMZN,630,100325.39499759674
16,0,2010-10-25,-1,15.389820098876953,GOOGL,329,99930.02612876892
17,0,2010-10-25,-1,19.2795352935791,MSFT,258,100023.69441986084
18,0,2010-10-25,1,23.834285736083984,NFLX,228,100445.90306091309
19,0,2010-10-25,1,9.314560890197754,AAPL,533,99972.83142375946
20,0,2010-10-26,1,9.29073715209961,AAPL,533,99960.13337135315
21,0,2010-10-26,-1,19.822938919067383,MSFT,258,99883.49628448486
22,0,2010-10-26,1,8.4975004196167,AMZN,630,100355.32038211823
23,0,2010-10-26,1,25.374286651611328,NFLX,228,100797.02326965332
24,0,2010-10-26,-1,15.442242622375488,GOOGL,329,99912.7791185379
25,0,2010-10-27,1,9.284103393554688,AAPL,533,99956.5975780487
26,0,2010-10-27,1,8.375499725341797,AMZN,630,100278.45994472504
27,0,2010-10-27,1,25.5,NFLX,228,100825.68591308594
28,0,2010-10-27,-1,15.389071464538574,GOOGL,329,99930.27242946625
29,0,2010-10-27,-1,19.937746047973633,MSFT,258,99853.87604522705
30,0,2010-10-28,-1,20.11377716064453,MSFT,258,99808.46001815796
31,6,2010-10-28,1,15.441744804382324,GOOGL,329,99912.94290065765
32,0,2010-10-28,1,8.342000007629395,AMZN,630,100257.35512256622
33,0,2010-10-28,1,25.100000381469727,NFLX,228,100734.48600006104
34,6,2010-10-28,1,15.441744804382324,GOOGL,323,99912.94290065765
35,0,2010-10-28,1,9.205989837646484,AAPL,533,99914.96305274963
36,0,2010-10-29,1,8.261500358581543,AMZN,630,100206.64034366608
37,0,2010-10-29,1,15.31992244720459,GOOGL,323,99873.59427928925
38,0,2010-10-29,1,24.795713424682617,NFLX,228,100665.10857391357
39,0,2010-10-29,1,9.077507972717285,AAPL,533,99846.48221874237
40,0,2010-10-29,-1,20.412275314331055,MSFT,258,99731.44749450684
41,0,2010-11-01,1,23.90999984741211,NFLX,228,100463.1658782959
42,0,2010-11-01,1,8.128999710083008,AMZN,630,100123.164935112
43,0,2010-11-01,1,9.174016952514648,AAPL,533,99897.92150497437
44,0,2010-11-01,-1,20.626577377319336,MSFT,258,99676.15756225586
45,0,2010-11-01,1,15.352375030517578,GOOGL,323,99884.07646369934
46,0,2010-11-02,1,24.515714645385742,NFLX,228,100601.26885223389
47,0,2010-11-02,-1,20.963329315185547,MSFT,258,99589.27556228638
48,0,2010-11-02,1,9.330244064331055,AAPL,533,99981.19055557251
49,0,2010-11-02,1,8.230500221252441,AMZN,630,100187.11025714874
50,0,2010-11-02,1,15.367352485656738,GOOGL,323,99888.91418170929
51,0,2010-11-03,1,24.494285583496094,NFLX,228,100596.38302612305
52,0,2010-11-03,1,9.433993339538574,AAPL,533,100036.48891925812
53,0,2010-11-03,1,8.423500061035156,AMZN,630,100308.70015621185
54,0,2010-11-03,1,15.481684684753418,GOOGL,323,99925.84348201752
55,0,2010-11-03,-1,20.687801361083984,MSFT,258,99660.36177444458
56,0,2010-11-04,1,23.974285125732422,NFLX,228,100477.82292175293
57,0,2010-11-04,-1,20.77198600769043,MSFT,258,99638.64213562012
58,0,2010-11-04,1,9.598970413208008,AAPL,533,100124.42169952393
59,0,2010-11-04,1,8.446499824523926,AMZN,630,100323.19000720978
60,0,2010-11-04,1,15.583784103393555,GOOGL,323,99958.82159423828
61,0,2010-11-05,1,9.56458854675293,AAPL,533,100106.09616470337
62,0,2010-11-05,1,8.53849983215332,AMZN,630,100381.1500120163
63,0,2010-11-05,1,15.604004859924316,GOOGL,323,99965.35289859772
64,0,2010-11-05,-1,20.55004119873047,MSFT,258,99695.90389633179
65,0,2010-11-05,1,24.014286041259766,NFLX,228,100486.94313049316
66,0,2010-11-08,-1,20.51943016052246,MSFT,258,99703.80154418945
67,0,2010-11-08,1,24.161428451538086,NFLX,228,100520.49160003662
68,0,2010-11-08,1,9.609521865844727,AAPL,533,100130.0456237793
69,0,2010-11-08,1,15.64619255065918,GOOGL,323,99978.97952270508
70,0,2010-11-08,1,8.599499702453613,AMZN,630,100419.57993030548
71,0,2010-11-09,1,8.513500213623047,AMZN,630,100365.40025234222
72,0,2010-11-09,1,24.351428985595703,NFLX,228,100563.81172180176
73,0,2010-11-09,-1,20.626577377319336,MSFT,258,99676.15756225586
74,0,2010-11-09,1,15.597514152526855,GOOGL,323,99963.25640010834
75,0,2010-11-09,1,9.532917022705078,AAPL,533,100089.21524238586
