,portfolio_annualized_return,portfolio_annualized_volatility,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_max_drawdown,benchmark_annualized_return,benchmark_annualized_volatility,benchmark_sharpe_ratio,benchmark_sortino_ratio,benchmark_max_drawdown,rsi_window,stock_combination
592,0.09295564652350909,0.1683451754446793,0.4333693931578299,0.43212443466450107,0.2414555374049726,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,25,"('AVGO', 'TSLA', 'META', 'AMZN', 'MSFT', 'AAPL', 'NVDA')"
424,0.09255344339800665,0.17308300384515252,0.4191829456745278,0.4195795561333153,0.3144216723399032,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,25,"('NFLX', 'TSLA', 'META', 'AMZN', 'MSFT', 'AAPL', 'NVDA')"
700,0.08838888607270734,0.169652946679995,0.40311051125863856,0.40357602886467997,0.24285818229150036,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,25,"('TSLA', 'META', 'GOOGL', 'AMZN', 'MSFT', 'AAPL', 'NVDA')"
706,0.0881090730500449,0.1697421398027075,0.4012502324361443,0.4018613904841732,0.24354302944706585,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,25,"('TSLA', 'META', 'GOOG', 'AMZN', 'MSFT', 'AAPL', 'NVDA')"
112,0.08982745674828706,0.18003333944770103,0.3878584764494226,0.38967648603217614,0.32718634163116783,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,25,"('NFLX', 'AVGO', 'TSLA', 'META', 'AMZN', 'AAPL', 'NVDA')"
556,0.08559927355635066,0.17655279235248492,0.37155613730188264,0.37291868874447043,0.2519755927774655,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,25,"('AVGO', 'TSLA', 'META', 'GOOGL', 'AMZN', 'AAPL', 'NVDA')"
580,0.08531512331185187,0.17664950357986947,0.36974416563995943,0.3710168718062624,0.252674662969029,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,25,"('AVGO', 'TSLA', 'META', 'GOOG', 'AMZN', 'AAPL', 'NVDA')"
388,0.0851804494826489,0.1809921369237502,0.3601286254225985,0.3621616338386149,0.3301353243585893,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,25,"('NFLX', 'TSLA', 'META', 'GOOGL', 'AMZN', 'AAPL', 'NVDA')"
412,0.08489564130353087,0.18108251482404752,0.3583760771523856,0.36033535362196467,0.33097608457361294,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,25,"('NFLX', 'TSLA', 'META', 'GOOG', 'AMZN', 'AAPL', 'NVDA')"
106,0.08461381908121712,0.18412587531961416,0.35092199273490204,0.35032586198152554,0.33540049313369763,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,25,"('NFLX', 'AVGO', 'TSLA', 'META', 'AMZN', 'MSFT', 'NVDA')"
208,0.0837675553777304,0.18392488586831982,0.34670433572205384,0.346893828621372,0.29781376900106304,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,25,"('NFLX', 'AVGO', 'TSLA', 'AMZN', 'MSFT', 'AAPL', 'NVDA')"
688,0.08054940598158433,0.1794484480679385,0.3374195019990396,0.3391271339363349,0.2547054825855579,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,25,"('TSLA', 'META', 'GOOGL', 'GOOG', 'AMZN', 'AAPL', 'NVDA')"
550,0.08026072105377512,0.18244999827502129,0.3302862242998729,0.33117621753474336,0.29742739014282427,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,25,"('AVGO', 'TSLA', 'META', 'GOOGL', 'AMZN', 'MSFT', 'NVDA')"
574,0.0799680496858639,0.18254587060196314,0.328509483606029,0.32951385664522953,0.2974276085158715,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,25,"('AVGO', 'TSLA', 'META', 'GOOG', 'AMZN', 'MSFT', 'NVDA')"
622,0.07939377277149928,0.1811713181443192,0.32783209494665605,0.32933185844411195,0.24128774288487165,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,25,"('AVGO', 'TSLA', 'GOOGL', 'AMZN', 'MSFT', 'AAPL', 'NVDA')"
628,0.07909968962818836,0.18129757054617332,0.3259816965563623,0.3275991923781461,0.24128788173542154,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,25,"('AVGO', 'TSLA', 'GOOG', 'AMZN', 'MSFT', 'AAPL', 'NVDA')"
382,0.07982933161959038,0.18596172065118532,0.3217292860599751,0.3197460343625777,0.3385630781583928,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,25,"('NFLX', 'TSLA', 'META', 'GOOGL', 'AMZN', 'MSFT', 'NVDA')"
406,0.07953595875061015,0.1860529428632691,0.31999471674233776,0.3177719452682924,0.3394423605649436,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,25,"('NFLX', 'TSLA', 'META', 'GOOG', 'AMZN', 'MSFT', 'NVDA')"
